6.身体的部分,
头,tou2
脑袋,nao3dai4 nao3dai
头发,tou3fa4 tou3fa
脸,lian3
眼睛,yan3jing yan3jing1
眉毛,mei2mao
脸蛋,lia3dan4
耳朵,er3duo
鼻子,bi2zi
嘴,zui3
嘴巴,zui3ba
口,kou3
嘴唇,zui3chun2
牙,ya2
牙齿,ya2chi3
舌头,she2tou2 she2tou
下巴,xia4ba
脖子,bo2zi
肩膀,jian1bang3
胳膊,ge1bo
手,shou3
手指头,shou3zhi3tou
大拇指,da4mu3zhi3
肚子,du4zi
肚脐眼,du4qi2yan3 du4qi2yanr
屁股,pi4gu pi4gu3
腿,tui3
脚,jiao3
脚丫,jiao3ya1
膝盖,xi1gai4
脚腕,jiao3wan4
******,
7.动物,
猫,mao1 xiao3mao1
小白兔,xiao3bai2tu4
兔子,tu4zi
羊,yang2
狗,gou3 xiao3gou3
猴子,hou2zi
老虎,lao3hu3
牛,niu2
熊,xiong2
猪,zhu1
大象,da4xiang4
熊猫,xiong2mao1
狮子,shi1zi
老鼠,lao3shu3
猩猩,xing1xing
鹿,lu4
狼,lang2
斑马,ban1ma3
长颈鹿,chang2jing3lu4
骆驼,luo4tuo luo4tuo2
刺猬,ci4wei 
动物,dong4wu4
鸭子,ya1zi
鸟,niao3 xiao3niao3
小鸡,xiao4ji1
燕子,yan4zi
鸽子,ge1zi
鹅,e2
企鹅,qi3e2
喜鹊,xi3que4
孔雀,kong3que4
乌鸦,wu1ya1
老鹰,lao3ying1
猫头鹰,mao1tou2ying1
鱼,yu2
虫子,chong2zi
乌龟,wu1gui1
青蛙,qing1wa1
蚂蚁,ma3yi3
龙,long2
蝴蝶,hu2die2
蜻蜓,qing1ting2
蚊子,wen2zi
苍蝇,cang1ying
蛇,she2
鳄鱼,e4yu2
蛐蛐,qu1qu
恐龙,kong3long2
蟑螂,zhang1lang2
******,
8.形容词和副词,
******,
9.家里的小东西,
碗,wan3
杯子,bei1zi
瓶子,ping2zi
勺,shao2
筷子,kuai4zi
盘,pan2
盘子,pan2zi
锅,guo1
刀,dao1
茶杯,cha2bei1
钟,zhong1
表,biao3
电话,dian4hua4
电扇,dian4shan4
电池,dian4chi2
手表,shou3biao3
收音机,shou1yin1ji1
照相机,zhao4xiang4ji1
琴,qin2
