,pinyin,word,total,init,final,iso,other,double,conflict_d,marker_before,marker_after,marker_total,p_init,p_final,p_iso,p_repl,p_marker,img_mean,img_norm,AoA stage,AoA class,AoA vote,class
239,yong4,['ÓÃ'],177,24,19,2,132,0,[],55,4,59,0.13559322033898305,0.10734463276836158,0.011299435028248588,0.0,0.3333333333333333,2.45,-1.5503096397633955,1.75,2,1,1
240,bei1,['±³'],174,43,20,5,106,20,[],32,43,75,0.2471264367816092,0.11494252873563218,0.028735632183908046,0.11494252873563218,0.43103448275862066,5.1,0.1878563847812264,1.95,2,2,1
241,deng3,['µÈ'],171,83,7,0,81,9,[],14,42,56,0.4853801169590643,0.04093567251461988,0.0,0.05263157894736842,0.32748538011695905,4.15,-0.4331371510159828,2.25,3,2,1
242,xi3,['Ï´'],167,42,19,4,102,22,[],18,4,22,0.25149700598802394,0.11377245508982035,0.023952095808383235,0.1317365269461078,0.1317365269461078,5.25,0.29771924552940343,1.45,1,1,1
243,chuan1,['´©'],164,54,9,1,100,2,[],31,6,37,0.32926829268292684,0.054878048780487805,0.006097560975609756,0.012195121951219513,0.22560975609756098,5.25,0.29835543684801225,1.5,1,1,1
244,niao4,['Äò'],157,28,45,3,81,79,[],9,24,33,0.17834394904458598,0.28662420382165604,0.01910828025477707,0.5031847133757962,0.21019108280254778,5.75,0.6055676553485771,1.3,1,1,1
245,dai1,['´ý'],157,65,9,3,80,0,[],2,22,24,0.4140127388535032,0.05732484076433121,0.01910828025477707,0.0,0.15286624203821655,3.85,-0.6404179664726922,2.35,3,3,1
246,guan1,['¹Ø'],156,53,26,8,69,3,[],14,32,46,0.33974358974358976,0.16666666666666666,0.05128205128205128,0.019230769230769232,0.2948717948717949,4.35,-0.31372047219994803,1.5,1,1,1
247,xi3huan1,['Ï²»¶'],143,22,14,9,98,0,[],58,5,63,0.15384615384615385,0.0979020979020979,0.06293706293706294,0.0,0.4405594405594406,2.6,-1.4230465785006452,1.8,2,2,1
248,gao4su4,['¸æËß'],141,31,1,0,109,0,[],0,0,0,0.2198581560283688,0.0070921985815602835,0.0,0.0,0.0,4.2,-0.36505897585988684,2.25,3,3,1
249,ti1,['Ìß'],138,52,29,14,43,3,[],13,5,18,0.37681159420289856,0.21014492753623187,0.10144927536231885,0.021739130434782608,0.13043478260869565,6.05,0.7988586589153884,1.55,1,1,1
250,cha1,['²å'],135,27,41,16,51,33,[],18,4,22,0.2,0.3037037037037037,0.11851851851851852,0.24444444444444444,0.16296296296296298,5.3,0.30338138758537336,2.1,2,2,1
251,fei1,['·É'],135,31,23,6,75,25,[],12,11,23,0.22962962962962963,0.17037037037037037,0.044444444444444446,0.18518518518518517,0.17037037037037037,5.65,0.4045463235163849,1.95,2,2,1
252,zhuang1,['×°'],131,45,15,3,68,0,[],10,1,11,0.3435114503816794,0.11450381679389313,0.022900763358778626,0.0,0.08396946564885496,3.9,-0.6476190872345515,2.4,3,3,1
253,xue2,['Ñ§'],129,14,18,0,97,4,[],17,13,30,0.10852713178294573,0.13953488372093023,0.0,0.031007751937984496,0.23255813953488372,3.5,-0.8606433081530718,1.95,2,2,1
254,guo4,['¹ý'],128,18,21,2,87,0,[],5,6,11,0.140625,0.1640625,0.015625,0.0,0.0859375,2.5,-1.5468056706583182,2.25,3,2,1
255,xiu1,['ÐÞ'],126,21,30,6,69,22,[],0,0,0,0.16666666666666666,0.23809523809523808,0.047619047619047616,0.1746031746031746,0.0,4.0,-0.5830470498445985,2.7,3,3,1
256,ting1jian4,['Ìý¼û'],124,80,10,2,32,0,[],16,6,22,0.6451612903225806,0.08064516129032258,0.016129032258064516,0.0,0.1774193548387097,4.6,-0.03015423052517647,1.7,2,1,1
257,qiao2,['ÇÆ'],118,29,21,5,63,44,[],0,5,5,0.2457627118644068,0.17796610169491525,0.0423728813559322,0.3728813559322034,0.0423728813559322,4.85,0.018749692728031897,2.5,3,3,1
258,huan4,['»»'],117,50,3,0,64,4,[],11,12,23,0.42735042735042733,0.02564102564102564,0.0,0.03418803418803419,0.19658119658119658,3.9,-0.5923883107386134,2.05,2,2,1
259,zha1,['Ôú'],113,35,25,14,39,6,[],20,11,31,0.30973451327433627,0.22123893805309736,0.12389380530973451,0.05309734513274336,0.2743362831858407,5.55,0.5145554890023575,2.5,3,3,1
260,chu1qu4,['³öÈ¥'],108,20,25,6,57,0,[],21,15,36,0.18518518518518517,0.23148148148148148,0.05555555555555555,0.0,0.3333333333333333,4.65,-0.03237666997190335,1.6,1,1,1
261,wei4,['Î¹'],107,21,18,8,60,8,[],9,2,11,0.19626168224299065,0.16822429906542055,0.07476635514018691,0.07476635514018691,0.102803738317757,4.9,-0.05181965210752324,1.7,2,2,1
262,beng4,['±Ä'],103,25,27,9,42,29,[],11,5,16,0.24271844660194175,0.2621359223300971,0.08737864077669903,0.2815533980582524,0.1553398058252427,5.45,0.41808542951214467,2.3,3,3,1
263,pai1,['ÅÄ'],98,11,11,3,73,1,[],0,0,0,0.11224489795918367,0.11224489795918367,0.030612244897959183,0.01020408163265306,0.0,5.85,0.6707206534449327,1.75,2,2,1
264,wen4,['ÎÊ'],97,15,8,1,73,15,[],7,2,9,0.15463917525773196,0.08247422680412371,0.010309278350515464,0.15463917525773196,0.09278350515463918,4.6,-0.15148697321481835,2.05,2,2,1
265,zhuang4,['×²'],97,33,6,9,49,0,[],20,17,37,0.3402061855670103,0.061855670103092786,0.09278350515463918,0.0,0.38144329896907214,5.75,0.5884054952650013,1.95,2,2,1
266,zhan4,['Õ¾'],94,28,7,0,59,1,[],8,21,29,0.2978723404255319,0.07446808510638298,0.0,0.010638297872340425,0.30851063829787234,5.45,0.4421143691542505,1.15,1,1,1
267,shui4jiao4,['Ë¯¾õ'],93,11,17,9,56,0,[],13,21,34,0.11827956989247312,0.1827956989247312,0.0967741935483871,0.0,0.3655913978494624,6.3,1.0600637956655963,1.2,1,1,1
268,jiang3,['½²'],91,10,21,1,59,6,[],11,1,12,0.10989010989010989,0.23076923076923078,0.01098901098901099,0.06593406593406594,0.13186813186813187,4.6,-0.12950375127228494,1.65,1,2,1
269,tuo1,['ÍÏ'],90,30,10,2,48,10,[],10,17,27,0.3333333333333333,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.3,5.0,0.0620087438967306,2.05,2,2,1
270,chang2,['³¢'],89,12,16,4,57,17,[],7,8,15,0.1348314606741573,0.1797752808988764,0.0449438202247191,0.19101123595505617,0.16853932584269662,5.0,0.14233044369810877,1.95,2,1,1
271,you1,['ÓÆ'],88,15,14,28,31,1,[],0,0,0,0.17045454545454544,0.1590909090909091,0.3181818181818182,0.011363636363636364,0.0,2.0,-1.9080092251672187,2.9,3,3,1
272,cai3,['²È'],86,27,18,6,35,2,[],23,7,30,0.313953488372093,0.20930232558139536,0.06976744186046512,0.023255813953488372,0.3488372093023256,5.95,0.7909994428514274,1.65,1,2,1
273,ya1,['Ñ¹'],83,12,32,4,35,65,[],3,4,7,0.14457831325301204,0.3855421686746988,0.04819277108433735,0.7831325301204819,0.08433734939759036,5.1,0.18634843466998324,2.05,2,2,1
274,ji4,['¼Ç'],80,13,23,3,41,0,[],5,2,7,0.1625,0.2875,0.0375,0.0,0.0875,3.55,-0.8293445678911044,2.3,3,3,1
275,da3kai1,['´ò¿ª'],78,13,30,14,21,0,[],13,3,16,0.16666666666666666,0.38461538461538464,0.1794871794871795,0.0,0.20512820512820512,5.25,0.23849629583128468,1.55,1,1,1
276,tang3,['ÌÉ'],77,9,27,13,28,17,[],8,16,24,0.11688311688311688,0.35064935064935066,0.16883116883116883,0.22077922077922077,0.3116883116883117,6.0,0.8459865991619736,1.3,1,1,1
277,ca1,['²Á'],74,16,21,2,35,70,[],7,5,12,0.21621621621621623,0.28378378378378377,0.02702702702702703,0.9459459459459459,0.16216216216216217,5.55,0.45744798622215893,1.8,2,1,1
278,jian3,"['¼ñ', '¼ô']",70,10,22,2,36,2,[],11,1,12,0.14285714285714285,0.3142857142857143,0.02857142857142857,0.02857142857142857,0.17142857142857143,5.3,0.3565472159181732,2.15,2,2,1
279,liang4,['ÁÁ'],70,6,22,1,41,28,[],14,25,39,0.08571428571428572,0.3142857142857143,0.014285714285714285,0.4,0.5571428571428572,4.3,-0.34236165385106404,2.2,3,2,1
280,song4,['ËÍ'],66,10,5,0,51,0,[],6,4,10,0.15151515151515152,0.07575757575757576,0.0,0.0,0.15151515151515152,3.55,-0.8188431140340153,2.2,3,2,1
281,le4,['ÀÖ'],65,26,9,6,24,196,[],5,6,11,0.4,0.13846153846153847,0.09230769230769231,3.0153846153846153,0.16923076923076924,4.0,-0.5117669975810596,2.15,2,3,1
282,jiu1,['¾¾'],65,10,17,2,36,1,[],33,4,37,0.15384615384615385,0.26153846153846155,0.03076923076923077,0.015384615384615385,0.5692307692307692,5.0,0.1315103680949559,2.5,3,3,1
283,ke1,['¿Ä'],63,24,4,3,32,7,[],13,10,23,0.38095238095238093,0.06349206349206349,0.047619047619047616,0.1111111111111111,0.36507936507936506,5.1,0.1544986881533875,2.65,3,3,1
284,wa1,['ÍÚ'],62,10,20,10,22,9,[],0,1,1,0.16129032258064516,0.3225806451612903,0.16129032258064516,0.14516129032258066,0.016129032258064516,5.65,0.5676514459628832,1.9,2,2,1
285,mo1,['Ãþ'],62,10,16,4,32,20,[],26,4,30,0.16129032258064516,0.25806451612903225,0.06451612903225806,0.3225806451612903,0.4838709677419355,5.75,0.6595270632060566,1.5,1,1,1
286,an4,['°´'],60,9,7,28,16,1,[],0,0,0,0.15,0.11666666666666667,0.4666666666666667,0.016666666666666666,0.0,5.3,0.2680317521112354,2.0,2,2,1
287,ban1,['°á'],59,4,10,3,42,20,[],3,4,7,0.06779661016949153,0.1694915254237288,0.05084745762711865,0.3389830508474576,0.11864406779661017,5.0,0.14093980399127,2.25,3,2,1
288,zhuan4,['×ª'],55,12,20,1,22,1,[],14,7,21,0.21818181818181817,0.36363636363636365,0.01818181818181818,0.01818181818181818,0.38181818181818183,4.8,0.00288441172627526,2.15,2,2,1
289,ning3,['Å¡'],51,4,20,2,25,1,[],8,1,9,0.0784313725490196,0.39215686274509803,0.0392156862745098,0.0196078431372549,0.17647058823529413,5.7,0.6158473478571833,2.8,3,3,1
290,sa3,"['Èö', 'È÷']",48,12,4,2,30,1,[],6,22,28,0.25,0.08333333333333333,0.041666666666666664,0.020833333333333332,0.5833333333333334,5.1,0.1898699645787019,2.35,3,2,1
