,pinyin,word,total,init,final,iso,other,double,conflict_d,marker_before,marker_after,marker_total,p_init,p_final,p_iso,p_repl,p_marker,img_mean,img_norm,AoA stage,AoA class,AoA vote,class
291,jin4qu4,['½øÈ¥'],48,10,8,2,28,0,[],4,7,11,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.0,0.22916666666666666,4.8,0.04051140762481668,1.65,1,1,1
292,zhai1,['Õª'],48,9,11,3,25,1,[],11,20,31,0.1875,0.22916666666666666,0.0625,0.020833333333333332,0.6458333333333334,5.35,0.36624451584065165,2.35,3,3,1
293,ting2,['Í£'],48,16,4,6,22,5,[],12,3,15,0.3333333333333333,0.08333333333333333,0.125,0.10416666666666667,0.3125,4.7,-0.09257524469231909,1.6,1,1,1
294,dou4,['¶º'],46,6,14,4,22,22,[],0,0,0,0.13043478260869565,0.30434782608695654,0.08695652173913043,0.4782608695652174,0.0,3.75,-0.6902215305181566,2.35,3,3,1
295,guai3,['¹Õ'],45,20,6,5,14,0,[],0,0,0,0.4444444444444444,0.13333333333333333,0.1111111111111111,0.0,0.0,3.35,-0.9736418010180469,2.8,3,3,1
296,zhua1,['×¥'],44,1,8,1,34,1,[],1,3,4,0.022727272727272728,0.18181818181818182,0.022727272727272728,0.022727272727272728,0.09090909090909091,5.4,0.33724785695574366,1.5,1,1,1
297,si1,['Ëº'],44,6,12,0,26,1,[],10,14,24,0.13636363636363635,0.2727272727272727,0.0,0.022727272727272728,0.5454545454545454,5.9,0.7617003555827249,2.35,3,2,1
298,bo1,"['°þ', '²¦']",44,9,7,7,21,10,[],5,3,8,0.20454545454545456,0.1590909090909091,0.1590909090909091,0.22727272727272727,0.18181818181818182,5.1,0.17267524559160483,2.55,3,3,1
299,mo3,['Ä¨'],44,14,2,0,28,1,[],16,9,25,0.3181818181818182,0.045454545454545456,0.0,0.022727272727272728,0.5681818181818182,4.75,-0.030758649660041038,2.5,3,2,1
300,jiao2,['½À'],43,6,21,8,8,2,[],0,0,0,0.13953488372093023,0.4883720930232558,0.18604651162790697,0.046511627906976744,0.0,6.0,0.8490409743971113,2.0,2,2,1
301,tu4,['ÍÂ'],43,8,14,5,16,16,[],0,2,2,0.18604651162790697,0.32558139534883723,0.11627906976744186,0.37209302325581395,0.046511627906976744,6.1,0.856531606667876,1.55,1,1,1
302,xiao4,['Ð¦'],40,14,3,1,22,2,[],5,2,7,0.35,0.075,0.025,0.05,0.175,6.05,0.8923290437460665,1.2,1,1,1
303,fan1,['·­'],40,5,11,2,22,3,[],7,8,15,0.125,0.275,0.05,0.075,0.375,4.85,0.043638024481643056,2.15,2,2,1
304,ba2,['°Î'],39,11,7,4,17,2,[],2,3,5,0.28205128205128205,0.1794871794871795,0.10256410256410256,0.05128205128205128,0.1282051282051282,5.4,0.40394846105580234,2.2,3,2,1
305,zhang3,['³¤'],39,9,4,0,26,0,[],9,3,12,0.23076923076923078,0.10256410256410256,0.0,0.0,0.3076923076923077,3.15,-1.0788037848756467,2.1,2,2,1
306,tiao4wu3,['ÌøÎè'],37,6,5,9,17,0,[],0,1,1,0.16216216216216217,0.13513513513513514,0.24324324324324326,0.0,0.02702702702702703,6.1,0.9464799459575822,2.1,2,2,1
307,pa1,['Å¿'],37,8,14,0,15,0,[],14,2,16,0.21621621621621623,0.3783783783783784,0.0,0.0,0.43243243243243246,6.0,0.7766742722965574,1.55,1,1,1
308,tie1,['Ìù'],36,12,7,2,15,0,[],6,3,9,0.3333333333333333,0.19444444444444445,0.05555555555555555,0.0,0.25,5.5,0.4265689993917651,2.3,3,2,1
309,qie1,['ÇÐ'],36,10,11,2,13,0,[],0,0,0,0.2777777777777778,0.3055555555555556,0.05555555555555555,0.0,0.0,5.85,0.7107224158517459,2.55,3,3,1
310,diu1,['¶ª'],36,13,3,2,18,0,[],5,14,19,0.3611111111111111,0.08333333333333333,0.05555555555555555,0.0,0.5277777777777778,4.55,-0.11694202105889881,1.95,2,2,1
311,peng4,['Åö'],35,10,4,2,19,1,[],9,3,12,0.2857142857142857,0.11428571428571428,0.05714285714285714,0.02857142857142857,0.34285714285714286,5.05,0.13228625036685557,1.7,2,1,1
312,wo4,['ÎÕ'],34,16,3,4,11,1,[],0,1,1,0.47058823529411764,0.08823529411764706,0.11764705882352941,0.029411764705882353,0.029411764705882353,5.7,0.5908538349982613,2.0,2,2,1
313,chou3,['³ò'],31,12,1,0,18,14,[],1,2,3,0.3870967741935484,0.03225806451612903,0.0,0.45161290322580644,0.0967741935483871,4.9,0.0860294655797331,2.85,3,3,1
314,chai1,['²ð'],30,6,7,0,17,4,[],9,10,19,0.2,0.23333333333333334,0.0,0.13333333333333333,0.6333333333333333,5.0,0.10388839958879774,2.4,3,3,1
315,chui1,['´µ'],30,6,0,1,23,8,[],0,0,0,0.2,0.0,0.03333333333333333,0.26666666666666666,0.0,5.4,0.3866582617139627,1.3,1,1,1
316,yan4,['ÑÊ'],30,14,6,0,10,0,[],2,20,22,0.4666666666666667,0.2,0.0,0.0,0.7333333333333333,5.65,0.5120688071801469,2.0,2,2,1
317,gua4,['¹Ò'],29,6,4,1,18,0,[],5,8,13,0.20689655172413793,0.13793103448275862,0.034482758620689655,0.0,0.4482758620689655,4.65,-0.12591804446166796,2.3,3,2,1
318,pa2,['ÅÀ'],28,7,5,0,16,1,[],8,2,10,0.25,0.17857142857142858,0.0,0.03571428571428571,0.35714285714285715,6.0,0.7225941030009843,1.2,1,1,1
319,qiao1,['ÇÃ'],25,13,3,0,9,3,[],1,2,3,0.52,0.12,0.0,0.12,0.12,5.7,0.5821503669441577,2.1,2,2,1
320,qiang3,['ÇÀ'],25,1,5,1,18,0,[],6,6,12,0.04,0.2,0.04,0.0,0.48,5.6,0.43453916259769565,2.2,3,2,1
321,bi4,['±Õ'],25,8,1,4,12,0,[],0,0,0,0.32,0.04,0.16,0.0,0.0,3.8,-0.6096354565499356,2.25,3,3,1
322,rou2,['Èà'],25,0,9,0,16,14,[],1,2,3,0.0,0.36,0.0,0.56,0.12,5.7,0.533091609686395,2.2,3,2,1
323,dai3,['´þ'],24,7,8,2,7,0,[],0,0,0,0.2916666666666667,0.3333333333333333,0.08333333333333333,0.0,0.0,4.2,-0.32929733176226184,2.9,3,3,1
324,duo3,['¶ã'],24,8,3,1,12,0,[],0,0,0,0.3333333333333333,0.125,0.041666666666666664,0.0,0.0,4.6,-0.16626023881783009,2.05,2,2,1
325,bang3,['°ó'],23,6,4,0,13,2,[],1,1,2,0.2608695652173913,0.17391304347826086,0.0,0.08695652173913043,0.08695652173913043,5.6,0.5514505810994472,2.8,3,3,1
326,cang2,['²Ø'],23,5,3,1,14,6,[],0,0,0,0.21739130434782608,0.13043478260869565,0.043478260869565216,0.2608695652173913,0.0,4.6,-0.14275929827258063,2.2,3,2,1
327,shi3jin4,['Ê¹¾¢'],22,3,8,4,7,0,[],0,0,0,0.13636363636363635,0.36363636363636365,0.18181818181818182,0.0,0.0,4.2,-0.3461079875288732,2.45,3,3,1
328,du2,['¶Á'],22,8,3,1,10,0,[],0,0,0,0.36363636363636365,0.13636363636363635,0.045454545454545456,0.0,0.0,5.35,0.29316295968879114,2.15,2,3,1
329,dun1,['¶×'],21,8,1,1,11,2,[],1,8,9,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.42857142857142855,6.0,0.8154973043725594,1.75,2,2,1
330,niu3,['Å¤'],21,8,4,0,9,0,[],0,0,0,0.38095238095238093,0.19047619047619047,0.0,0.0,0.0,5.6,0.4766283731359504,2.25,3,2,1
331,tao4,['Ì×'],20,6,3,4,7,3,[],0,0,0,0.3,0.15,0.2,0.15,0.0,4.35,-0.3117829268535684,2.6,3,3,1
332,rao4,['ÈÆ'],20,9,3,1,7,0,[],0,0,0,0.45,0.15,0.05,0.0,0.0,4.25,-0.3944830964202571,2.55,3,3,1
333,mai4,['Âô'],20,4,1,0,15,0,[],4,2,6,0.2,0.05,0.0,0.0,0.3,4.35,-0.250225230280015,2.65,3,3,1
334,zhuai4,['×§'],19,1,6,0,12,0,[],0,0,0,0.05263157894736842,0.3157894736842105,0.0,0.0,0.0,5.55,0.47268303535489836,2.7,3,3,1
335,xing3,['ÐÑ'],19,1,4,1,13,0,[],6,6,12,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.0,0.631578947368421,4.9,0.01293268652488474,1.65,1,1,1
336,hua4hua4,['»­»­'],15,5,2,4,4,0,[],1,1,2,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,5.9,0.7525891975078233,1.9,2,2,1
337,zhui1,['×·'],14,4,0,0,10,0,[],1,3,4,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,5.45,0.39597190689492745,1.9,2,2,1
338,ceng4,['²ä'],14,2,3,0,9,0,[],0,0,0,0.14285714285714285,0.21428571428571427,0.0,0.0,0.0,5.35,0.307684974760304,2.65,3,3,1
339,lou3,['Â§'],14,4,3,0,7,0,[],0,6,6,0.2857142857142857,0.21428571428571427,0.0,0.0,0.42857142857142855,5.65,0.5489255349974915,2.6,3,3,1
340,hua2,['»¬'],14,2,4,3,5,0,[],0,0,0,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.0,0.0,4.75,-0.08520881036485639,2.1,2,2,1
341,zhuan3,['×ª'],13,6,2,2,3,0,[],0,0,0,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.0,0.0,4.35,-0.29251533616253855,2.25,3,2,1
342,shua1,['Ë¢'],12,3,2,1,6,1,[],0,0,0,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,4.6,-0.11200002990967736,2.4,3,3,1
343,you2yong3,['ÓÎÓ¾'],12,2,2,0,8,0,[],5,2,7,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5833333333333334,6.1,0.9253596186057342,2.6,3,3,1
344,qin1,['Ç×'],11,2,1,0,8,4,[],4,1,5,0.18181818181818182,0.09090909090909091,0.0,0.36363636363636365,0.45454545454545453,5.7,0.5715076560071102,1.4,1,1,1
345,fu2,['·ö'],11,2,1,0,8,1,[],0,8,8,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.7272727272727273,5.15,0.2620783529427716,2.1,2,2,1
346,wen2,['ÎÅ'],10,0,3,0,7,13,[],0,1,1,0.0,0.3,0.0,1.3,0.1,5.5,0.4525442716458311,1.8,2,1,1
